UserId,Variant,Week,MedianTTFB,MeanTTFB,MinTTFB,BettingSessions
c8e5acc0-ddb4-478d-ad73-5654826e7355,Ethical,W1,68.2,78.44000000000001,15.2,5
c99842c8-51e7-420e-b187-6cd2bbbd2242,Dark,W1,35.75,33.7375,14.4,8
c99842c8-51e7-420e-b187-6cd2bbbd2242,Ethical,W2,61.5,64.4,15.8,4
d6692bfa-902b-4f99-997c-e8e794a36d21,Dark,W2,111.2,111.2,111.2,1
d6692bfa-902b-4f99-997c-e8e794a36d21,Ethical,W1,75.35,72.875,12.4,4
e0ce78ab-5c37-4015-a43e-0327eca7d411,Dark,W2,42.25,41.775,13.8,4
e0ce78ab-5c37-4015-a43e-0327eca7d411,Ethical,W1,80.65,83.25,14.0,4
e325cae0-ec05-405b-b39e-9d316f5a4c15,Dark,W2,28.5,24.342857142857145,10.5,7
e325cae0-ec05-405b-b39e-9d316f5a4c15,Ethical,W1,83.9,86.8625,16.8,8
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Dark,W1,45.45,39.525,13.7,8
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Ethical,W2,78.75,79.0625,33.2,8
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Dark,W2,98.7,98.7,98.7,1
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Ethical,W1,133.29999999999998,133.29999999999998,13.9,2
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Dark,W1,31.0,35.82222222222222,13.7,9
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Ethical,W2,99.2,98.5,83.6,3
fcc80b9b-7241-4507-b3be-27e2268750fd,Dark,W1,17.4,17.4,17.4,1
fcc80b9b-7241-4507-b3be-27e2268750fd,Ethical,W2,147.0,147.0,147.0,1
fda732af-1a91-41d6-b91e-15ee3098151f,Dark,W1,18.1,18.1,18.1,1
fda732af-1a91-41d6-b91e-15ee3098151f,Ethical,W2,55.7,52.9,42.1,3
fe0798a3-83e9-44d2-95a1-221b586c3572,Dark,W2,19.549999999999997,25.933333333333334,11.5,6
fe0798a3-83e9-44d2-95a1-221b586c3572,Ethical,W1,53.7,56.54,12.3,5
